Jordan Sibert\siberjo01,ATL,46582,29.9
B.J. Johnson\johnsbj01,ATL,93164,24
Jaylen Adams\adamsja01,ATL,236854,10.4
Daniel Hamilton\hamilda02,ATL,1349383,7.2
Omari Spellman\spellom01,ATL,1620480,12.5
DeAndre' Bembry\bembrde01,ATL,1634640,9.6
Kevin Huerter\huertke01,ATL,2250960,9.9
John Collins\collijo01,ATL,2299080,21.5
Vince Carter\cartevi01,ATL,2393887,11.8
Justin Anderson\anderju01,ATL,2516048,8.3
Taurean Waller-Prince\princta02,ATL,2526840,11.7
Alex Len\lenal01,ATL,4350000,16.6
Trae Young\youngtr01,ATL,5356440,15.8
Dewayne Dedmon\dedmode01,ATL,7200000,15.7
Miles Plumlee\plumlmi01,ATL,12500000,19
Kent Bazemore\bazemke01,ATL,18089887,13
Brad Wanamaker\wanambr01,BOS,838464,14.1
Daniel Theis\theisda01,BOS,1378242,18.2
Semi Ojeleye\ojelese01,BOS,1378242,9.1
Robert Williams\williro04,BOS,1654440,19.8
Guerschon Yabusele\yabusgu01,BOS,2667600,11.8
Terry Rozier\roziete01,BOS,3050390,12.9
Jaylen Brown\brownja02,BOS,5169960,13.1
Aron Baynes\baynear01,BOS,5193600,14.8
Marcus Morris\morrima03,BOS,5375000,15
Jayson Tatum\tatumja01,BOS,6700800,15.6
Marcus Smart\smartma01,BOS,11660716,13
Kyrie Irving\irvinky01,BOS,20099189,24.6
Al Horford\horfoal01,BOS,28928710,19.8
Gordon Hayward\haywago01,BOS,31214295,14.6
Tahjere McCall\mccalta01,BRK,46582,9.7
Mitch Creek\creekmi01,BRK,93164,21.6
Treveon Graham\grahatr01,BRK,1512601,5.3
Rodions Kurucs\kurucro01,BRK,1618320,11.4
Dzanan Musa\musadz01,BRK,1632240,2.9
Spencer Dinwiddie\dinwisp01,BRK,1656092,17.1
Caris LeVert\leverca01,BRK,1702800,15.1
Shabazz Napier\napiesh01,BRK,1942422,15.5
Jarrett Allen\allenja01,BRK,2034120,18.6
Rondae Hollis-Jefferson\holliro01,BRK,2470357,12.1
Ed Davis\davised01,BRK,4449000,17.4
D'Angelo Russell\russeda01,BRK,7019698,19.2
Joe Harris\harrijo01,BRK,8333333,13.9
Jared Dudley\dudleja01,BRK,9530000,6.9
DeMarre Carroll\carrode01,BRK,15400000,12.2
Allen Crabbe\crabbal01,BRK,18500000,8.2
Shaquille Harrison\harrish01,CHI,50000,11.6
Shaquille Harrison\harrish01,CHI,1311265,11.6
Ryan Arcidiacono\arcidry01,CHI,1349383,10.7
Antonio Blakeney\blakean01,CHI,1349383,11.9
Chandler Hutchison\hutchch01,CHI,1991520,8.8
Kris Dunn\dunnkr01,CHI,4221000,12.2
Wendell Carter\cartewe01,CHI,4441200,15.2
Lauri Markkanen\markkla01,CHI,4536120,18
Cristiano Felicio\feliccr01,CHI,8470980,13
Robin Lopez\lopezro01,CHI,14357750,14.7
Zach LaVine\lavinza01,CHI,19500000,18.6
Devonte' Graham\grahade01,CHO,988464,10.6
Dwayne Bacon\bacondw01,CHO,1378242,11.8
Willy Hernangomez\hernawi01,CHO,1544951,20.3
Miles Bridges\bridgmi02,CHO,3206640,12.1
Malik Monk\monkma01,CHO,3447480,12.3
Frank Kaminsky\kaminfr01,CHO,3627842,15.9
Tony Parker\parketo01,CHO,5000000,15.6
Jeremy Lamb\lambje01,CHO,7488372,16.9
Kemba Walker\walkeke02,CHO,12000000,21.1
Michael Kidd-Gilchrist\kiddgmi01,CHO,13000000,13.7
Cody Zeller\zelleco01,CHO,13528090,17.5
Marvin Williams\willima02,CHO,14087500,13
Bismack Biyombo\biyombi01,CHO,17000000,15.2
Nicolas Batum\batumni01,CHO,24000000,12.4
Kobi Simmons\simmoko01,CLE,74966,0
David Nwaba\nwabada01,CLE,1512601,12.6
Ante Zizic\zizican01,CLE,1952760,15.7
Larry Nance\nancela02,CLE,2272391,18.3
Channing Frye\fryech01,CLE,2393887,9.1
Cedi Osman\osmande01,CLE,2775000,11.8
Collin Sexton\sextoco01,CLE,4068600,10.3
Jordan Clarkson\clarkjo01,CLE,12500000,17.1
J.R. Smith\smithjr01,CLE,14720000,7.8
Tristan Thompson\thomptr01,CLE,17469565,18.7
Kevin Love\loveke01,CLE,24119025,21.5
Ray Spalding\spaldra01,DAL,46582,0
Ray Spalding\spaldra01,DAL,184746,0
Ryan Broekhoff\broekry01,DAL,838464,10.5
Ray Spalding\spaldra01,DAL,838464,0
Jalen Brunson\brunsja01,DAL,1230000,11.1
Maxi Kleber\klebima01,DAL,1378242,13
Dorian Finney-Smith\finnedo01,DAL,1544951,11.4
Salah Mejri\mejrisa01,DAL,1567007,12.6
Devin Harris\harride01,DAL,2393887,11
J.J. Barea\bareajo01,DAL,3710850,16.4
Dirk Nowitzki\nowitdi01,DAL,5000000,8.2
Luka Doncic\doncilu01,DAL,6560640,19.5
Dwight Powell\poweldw01,DAL,9631250,19.8
Nick Young\youngni01,DEN,311070,2.4
Jarred Vanderbilt\vandeja01,DEN,838464,11.1
Monte Morris\morrimo01,DEN,1349383,16.3
Malik Beasley\beaslma01,DEN,1773840,15
Tyler Lydon\lydonty01,DEN,1874640,8.1
Torrey Craig\craigto01,DEN,2000000,9.4
Isaiah Thomas\thomais02,DEN,2029463,8.4
Juan Hernangomez\hernaju01,DEN,2166360,11.6
Trey Lyles\lylestr01,DEN,3364249,13.1
Jamal Murray\murraja01,DEN,3499800,15.1
Will Barton\bartowi01,DEN,11830358,13
Mason Plumlee\plumlma01,DEN,12917808,18.8
Gary Harris\harriga01,DEN,16517857,13.1
Nikola Jokic\jokicni01,DEN,24605181,26.9
Paul Millsap\millspa01,DEN,29730769,18.9
Khyri Thomas\thomakh01,DET,838464,7.7
Bruce Brown\brownbr01,DET,838464,6.5
Zaza Pachulia\pachuza01,DET,2393887,14.3
Jose Calderon\caldejo01,DET,2393887,7.1
Luke Kennard\kennalu01,DET,3275280,12.3
Glenn Robinson\robingl02,DET,4075000,7.2
Ish Smith\smithis01,DET,6000000,10.8
Langston Galloway\gallola01,DET,7000000,10.1
Jon Leuer\leuerjo01,DET,10002681,14
Reggie Jackson\jacksre01,DET,17043478,15.2
Andre Drummond\drumman01,DET,25434263,22.7
Blake Griffin\griffbl01,DET,32088932,21.2
Alfonzo McKinnie\mckinal01,GSW,1349383,10.7
Jordan Bell\belljo01,GSW,1378252,14.5
Quinn Cook\cookqu01,GSW,1544951,12.8
Damian Jones\jonesda03,GSW,1544951,15.4
Kevon Looney\looneke01,GSW,1567007,16.6
Jacob Evans\evansja02,GSW,1644240,-1.3
Jonas Jerebko\jerebjo01,GSW,2165481,13.3
DeMarcus Cousins\couside01,GSW,5337000,20.9
Shaun Livingston\livinsh01,GSW,8307692,11.9
Andre Iguodala\iguodan01,GSW,16000000,13.5
Draymond Green\greendr01,GSW,17469565,12.9
Klay Thompson\thompkl01,GSW,18988725,17
Kevin Durant\duranke01,GSW,30000000,24.8
Stephen Curry\curryst01,GSW,37457154,25.1
Terrence Jones\joneste01,HOU,195270,-39.9
Zhou Qi\qizh01,HOU,506134,80.8
Isaiah Hartenstein\harteis01,HOU,838464,10
Gerald Green\greenge01,HOU,2393887,11.4
Nene Hilario\hilarne01,HOU,3651480,12.9
P.J. Tucker\tuckepj01,HOU,7969537,9.5
Eric Gordon\gordoer01,HOU,13500375,11.6
Clint Capela\capelca01,HOU,15293104,23.4
James Harden\hardeja01,HOU,30431854,30.4
Chris Paul\paulch01,HOU,35654150,19.6
Michael Carter-Williams\cartemi01,HOU,1200000,12.7
Carmelo Anthony\anthoca01,HOU,2393887,11
Carmelo Anthony\anthoca01,HOU,25534253,11
Davon Reed\reedda01,IND,1378242,8.7
Edmond Sumner\sumneed01,IND,449794,4.6
Alize Johnson\johnsal02,IND,838464,-0.5
Ike Anigbogu\anigbik01,IND,1378242,-6
Aaron Holiday\holidaa01,IND,1911960,11.5
T.J. Leaf\leaftj01,IND,2407560,15.2
Domantas Sabonis\sabondo01,IND,2659800,22.9
Myles Turner\turnemy01,IND,3410284,18.1
Kyle O'Quinn\oquinky01,IND,4449000,14.9
Doug McDermott\mcderdo01,IND,7333334,11.1
Cory Joseph\josepco01,IND,7945000,12
