Rk,Player,Pos,Age,PER
1,Alex Abrines\abrinal01,SG,25,6.3
2,Quincy Acy\acyqu01,PF,28,2.9
3,Jaylen Adams\adamsja01,PG,22,11
4,Steven Adams\adamsst01,C,25,19.2
5,Bam Adebayo\adebaba01,C,21,16.6
6,Deng Adel\adelde01,SF,21,2.2
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,8.4
8,LaMarcus Aldridge\aldrila01,C,33,22.6
9,Rawle Alkins\alkinra01,SG,21,37.9
10,Grayson Allen\allengr01,SG,23,4.6
11,Jarrett Allen\allenja01,C,20,18.8
12,Kadeem Allen\allenka01,SG,26,17.3
13,Al-Farouq Aminu\aminual01,PF,28,13.5
14,Justin Anderson\anderju01,SF,25,9.2
15,Kyle Anderson\anderky01,SF,25,13
16,Ryan Anderson\anderry01,PF,30,4.7
16,Ryan Anderson\anderry01,PF,30,4.6
16,Ryan Anderson\anderry01,PF,30,16
17,Ike Anigbogu\anigbik01,C,20,-6
18,Giannis Antetokounmpo\antetgi01,PF,24,30.3
19,Carmelo Anthony\anthoca01,PF,34,11.1
20,OG Anunoby\anunoog01,SF,21,9.4
21,Ryan Arcidiacono\arcidry01,PG,24,10.4
22,Trevor Ariza\arizatr01,SF,33,12
22,Trevor Ariza\arizatr01,SF,33,10.6
22,Trevor Ariza\arizatr01,SF,33,13.1
23,D.J. Augustin\augusdj01,PG,31,15.3
24,Deandre Ayton\aytonde01,C,20,20.9
25,Dwayne Bacon\bacondw01,SG,23,11.9
26,Marvin Bagley\baglema01,PF,19,17.9
27,Ron Baker\bakerro01,SG,25,2.5
27,Ron Baker\bakerro01,SG,25,4.4
27,Ron Baker\bakerro01,SG,25,-1.9
28,Wade Baldwin\baldwwa01,PG,22,1.4
29,Lonzo Ball\balllo01,PG,21,11.9
30,Mohamed Bamba\bambamo01,C,20,15
31,J.J. Barea\bareajo01,PG,34,16.5
32,Harrison Barnes\barneha02,PF-SF,26,13
32,Harrison Barnes\barneha02,PF,26,13.2
32,Harrison Barnes\barneha02,SF,26,10.1
33,Will Barton\bartowi01,SG,28,13.1
34,Keita Bates-Diop\bateske01,SF,23,-2.7
35,Nicolas Batum\batumni01,SF,30,12
36,Jerryd Bayless\bayleje01,PG,30,8.3
37,Aron Baynes\baynear01,C,32,15
38,Kent Bazemore\bazemke01,SG,29,14.2
39,Bradley Beal\bealbr01,SG,25,19.8
40,Malik Beasley\beaslma01,SG,22,15.3
41,Michael Beasley\beaslmi01,PF,30,16.1
42,Marco Belinelli\belinma01,SG,32,13.4
43,Jordan Bell\belljo01,C,24,13.7
44,DeAndre' Bembry\bembrde01,SG,24,9.4
45,Dragan Bender\bendedr01,PF,21,8.1
46,Davis Bertans\bertada01,PF,26,14.5
47,Patrick Beverley\beverpa01,PG,30,11.1
48,Khem Birch\birchkh01,C,26,18.7
49,Bismack Biyombo\biyombi01,C,26,15.2
50,Nemanja Bjelica\bjeline01,PF,30,15.7
51,Antonio Blakeney\blakean01,SG,22,11.5
52,Eric Bledsoe\bledser01,PG,29,19
53,Jaron Blossomgame\blossja01,SF,25,10.2
54,Bogdan Bogdanovic\bogdabo01,SG,26,14.7
55,Bojan Bogdanovic\bogdabo02,SF,29,15.2
56,Jonah Bolden\boldejo01,PF,23,10.5
57,Isaac Bonga\bongais01,PG,19,9.5
58,Devin Booker\bookede01,SG,22,18.6
59,Chris Boucher\bouchch01,PF,26,28.4
60,Avery Bradley\bradlav01,SG,28,6.5
60,Avery Bradley\bradlav01,SG,28,5.7
60,Avery Bradley\bradlav01,SG,28,19.8
61,Tony Bradley\bradlto01,C,21,-10.4
62,Corey Brewer\breweco01,SF,32,11.5
62,Corey Brewer\breweco01,SF,32,10.8
62,Corey Brewer\breweco01,F-G,32,19.3
63,Mikal Bridges\bridgmi01,SF,22,11
64,Miles Bridges\bridgmi02,SF,20,11.9
65,Isaiah Briscoe\briscis01,PG,22,6.3
66,Ryan Broekhoff\broekry01,SG,28,11.4
67,Malcolm Brogdon\brogdma01,SG,26,17.7
68,Dillon Brooks\brookdi01,SF,23,7.7
69,MarShon Brooks\brookma01,SG,30,11.8
70,Bruce Brown\brownbr01,SG,22,6.4
71,Jaylen Brown\brownja02,SG,22,13.1
72,Lorenzo Brown\brownlo01,PG,28,6.4
73,Sterling Brown\brownst02,SG,23,10.4
74,Troy Brown\browntr01,SF,19,11.1
75,Jalen Brunson\brunsja01,PG,22,10.6
76,Thomas Bryant\bryanth01,C,21,21.4
77,Reggie Bullock\bullore01,SG,27,11.1
77,Reggie Bullock\bullore01,SG,27,11
77,Reggie Bullock\bullore01,SG,27,12.7
78,Trey Burke\burketr01,PG,26,15.7
78,Trey Burke\burketr01,PG,26,15.8
78,Trey Burke\burketr01,PG,26,14.6
79,Alec Burks\burksal01,SG,27,13
79,Alec Burks\burksal01,SG,27,12.6
79,Alec Burks\burksal01,SG,27,13.3
79,Alec Burks\burksal01,SG,27,9
80,Deonte Burton\burtode02,SG,25,9.3
81,Jimmy Butler\butleji01,SF-SG,29,21.4
81,Jimmy Butler\butleji01,SG,29,22.5
81,Jimmy Butler\butleji01,SF,29,21.1
82,Bruno Caboclo\cabocbr01,SF,23,10.4
83,Jose Calderon\caldejo01,PG,37,7.1
84,Kentavious Caldwell-Pope\caldwke01,SG,25,12.3
85,Isaiah Canaan\canaais01,PG,27,8.2
85,Isaiah Canaan\canaais01,PG,27,7.4
85,Isaiah Canaan\canaais01,PG,27,12.5
86,Clint Capela\capelca01,C,24,24.1
87,DeMarre Carroll\carrode01,SF,32,12
